index,SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
0,2017/2017,15/4/2017,PS BARITO PUTERA,MITRA KUKAR,2.0,1.0,0.0,1.0
1,2017/2017,15/4/2017,PERSIB BANDUNG,AREMA FC,0.0,0.0,0.0,0.0
2,2017/2017,16/4/2017,MADURA UNITED,BALI UNITED,2.0,0.0,1.0,0.0
3,2017/2017,16/4/2017,PERSIBA BALIKPAPAN,PERSIJA JAKARTA,0.0,2.0,0.0,0.0
4,2017/2017,16/4/2017,PSM MAKASSAR,PERSELA LAMONGAN,3.0,1.0,3.0,0.0
5,2017/2017,17/4/2017,PERSIKABO 1973,BORNEO FC,2.0,2.0,1.0,1.0
6,2017/2017,17/4/2017,SEMEN PADANG,SRIWIJAYA FC,1.0,1.0,0.0,0.0
7,2017/2017,18/4/2017,PERSIPURA JAYAPURA,GRESIK UNITED,1.0,1.0,1.0,1.0
8,2017/2017,20/4/2017,BHAYANGKARA FC,PERSERU SERUI,2.0,1.0,1.0,0.0
9,2017/2017,21/4/2017,GRESIK UNITED,SEMEN PADANG,1.0,3.0,1.0,1.0
10,2017/2017,21/4/2017,PERSELA LAMONGAN,MADURA UNITED,2.0,0.0,1.0,0.0
11,2017/2017,22/4/2017,SRIWIJAYA FC,BORNEO FC,1.0,0.0,1.0,0.0
12,2017/2017,22/4/2017,PERSIJA JAKARTA,PS BARITO PUTERA,1.0,1.0,0.0,0.0
13,2017/2017,22/4/2017,PERSIKABO 1973,PERSIB BANDUNG,2.0,2.0,0.0,0.0
14,2017/2017,23/4/2017,BALI UNITED,PERSIPURA JAYAPURA,1.0,2.0,1.0,2.0
15,2017/2017,23/4/2017,AREMA FC,BHAYANGKARA FC,2.0,0.0,1.0,0.0
16,2017/2017,24/4/2017,MITRA KUKAR,PSM MAKASSAR,1.0,1.0,0.0,1.0
17,2017/2017,25/4/2017,PERSERU SERUI,PERSIBA BALIKPAPAN,2.0,1.0,2.0,0.0
18,2017/2017,28/4/2017,MADURA UNITED,MITRA KUKAR,2.0,2.0,1.0,1.0
19,2017/2017,28/4/2017,SEMEN PADANG,PERSIPURA JAYAPURA,1.0,0.0,0.0,0.0
20,2017/2017,29/4/2017,BHAYANGKARA FC,PERSIKABO 1973,1.0,2.0,0.0,1.0
21,2017/2017,29/4/2017,BORNEO FC,GRESIK UNITED,3.0,0.0,1.0,0.0
22,2017/2017,29/4/2017,PERSIB BANDUNG,SRIWIJAYA FC,2.0,0.0,1.0,0.0
23,2017/2017,30/4/2017,PERSELA LAMONGAN,BALI UNITED,0.0,1.0,0.0,1.0
24,2017/2017,30/4/2017,PS BARITO PUTERA,PERSERU SERUI,2.0,0.0,2.0,0.0
25,2017/2017,30/4/2017,PSM MAKASSAR,PERSIJA JAKARTA,1.0,0.0,0.0,0.0
26,2017/2017,1/5/2017,PERSIBA BALIKPAPAN,AREMA FC,0.0,1.0,0.0,0.0
27,2017/2017,2/5/2017,PERSIPURA JAYAPURA,BORNEO FC,2.0,1.0,0.0,0.0
28,2017/2017,3/5/2017,MITRA KUKAR,PERSELA LAMONGAN,3.0,2.0,1.0,0.0
29,2017/2017,3/5/2017,GRESIK UNITED,PERSIB BANDUNG,0.0,1.0,0.0,0.0
30,2017/2017,3/5/2017,SRIWIJAYA FC,BHAYANGKARA FC,1.0,2.0,0.0,1.0
31,2017/2017,4/5/2017,PERSERU SERUI,PSM MAKASSAR,1.0,2.0,1.0,1.0
32,2017/2017,4/5/2017,BALI UNITED,SEMEN PADANG,2.0,0.0,1.0,0.0
33,2017/2017,4/5/2017,PERSIJA JAKARTA,MADURA UNITED,0.0,1.0,0.0,0.0
34,2017/2017,5/5/2017,PERSIKABO 1973,PERSIBA BALIKPAPAN,1.0,1.0,0.0,1.0
35,2017/2017,5/5/2017,AREMA FC,PS BARITO PUTERA,1.0,0.0,1.0,0.0
36,2017/2017,7/5/2017,BHAYANGKARA FC,GRESIK UNITED,2.0,1.0,1.0,1.0
37,2017/2017,7/5/2017,PERSIB BANDUNG,PERSIPURA JAYAPURA,1.0,0.0,0.0,0.0
38,2017/2017,8/5/2017,BORNEO FC,SEMEN PADANG,1.0,0.0,0.0,0.0
39,2017/2017,8/5/2017,MADURA UNITED,PERSERU SERUI,1.0,1.0,1.0,1.0
40,2017/2017,9/5/2017,PS BARITO PUTERA,PERSIKABO 1973,0.0,1.0,0.0,1.0
41,2017/2017,9/5/2017,PERSIBA BALIKPAPAN,SRIWIJAYA FC,0.0,2.0,0.0,1.0
42,2017/2017,10/5/2017,PERSELA LAMONGAN,PERSIJA JAKARTA,1.0,0.0,1.0,0.0
43,2017/2017,10/5/2017,MITRA KUKAR,BALI UNITED,2.0,1.0,0.0,1.0
44,2017/2017,10/5/2017,PSM MAKASSAR,AREMA FC,1.0,0.0,0.0,0.0
45,2017/2017,12/5/2017,PERSIPURA JAYAPURA,BHAYANGKARA FC,3.0,1.0,1.0,0.0
46,2017/2017,12/5/2017,GRESIK UNITED,PERSIBA BALIKPAPAN,2.0,1.0,2.0,0.0
47,2017/2017,13/5/2017,PERSERU SERUI,PERSELA LAMONGAN,0.0,0.0,0.0,0.0
48,2017/2017,13/5/2017,SRIWIJAYA FC,PS BARITO PUTERA,3.0,2.0,2.0,1.0
49,2017/2017,13/5/2017,SEMEN PADANG,PERSIB BANDUNG,0.0,0.0,0.0,0.0
50,2017/2017,14/5/2017,PERSIJA JAKARTA,MITRA KUKAR,1.0,1.0,1.0,0.0
51,2017/2017,14/5/2017,AREMA FC,MADURA UNITED,1.0,1.0,0.0,0.0
52,2017/2017,14/5/2017,BALI UNITED,BORNEO FC,3.0,0.0,2.0,0.0
53,2017/2017,15/5/2017,PERSIKABO 1973,PSM MAKASSAR,2.0,1.0,1.0,0.0
54,2017/2017,19/5/2017,PS BARITO PUTERA,GRESIK UNITED,2.0,0.0,2.0,0.0
55,2017/2017,19/5/2017,MADURA UNITED,PERSIKABO 1973,4.0,1.0,2.0,0.0
56,2017/2017,20/5/2017,BHAYANGKARA FC,SEMEN PADANG,1.0,0.0,1.0,0.0
57,2017/2017,20/5/2017,MITRA KUKAR,PERSERU SERUI,1.0,0.0,1.0,0.0
58,2017/2017,20/5/2017,PERSIB BANDUNG,BORNEO FC,2.0,2.0,2.0,1.0
59,2017/2017,21/5/2017,PSM MAKASSAR,SRIWIJAYA FC,1.0,0.0,0.0,0.0
60,2017/2017,21/5/2017,PERSELA LAMONGAN,AREMA FC,4.0,0.0,2.0,0.0
61,2017/2017,21/5/2017,PERSIJA JAKARTA,BALI UNITED,0.0,0.0,0.0,0.0
62,2017/2017,22/5/2017,PERSIBA BALIKPAPAN,PERSIPURA JAYAPURA,0.0,2.0,0.0,2.0
63,2017/2017,27/5/2017,SRIWIJAYA FC,MADURA UNITED,0.0,0.0,0.0,0.0
64,2017/2017,27/5/2017,PERSIKABO 1973,PERSELA LAMONGAN,3.0,2.0,2.0,0.0
65,2017/2017,28/5/2017,AREMA FC,MITRA KUKAR,2.0,0.0,0.0,0.0
66,2017/2017,28/5/2017,GRESIK UNITED,PSM MAKASSAR,1.0,1.0,0.0,0.0
67,2017/2017,29/5/2017,BORNEO FC,BHAYANGKARA FC,3.0,0.0,1.0,0.0
68,2017/2017,29/5/2017,SEMEN PADANG,PERSIBA BALIKPAPAN,2.0,1.0,1.0,0.0
69,2017/2017,30/5/2017,PERSIPURA JAYAPURA,PS BARITO PUTERA,3.0,1.0,2.0,1.0
70,2017/2017,31/5/2017,BALI UNITED,PERSIB BANDUNG,1.0,0.0,1.0,0.0
71,2017/2017,1/6/2017,MADURA UNITED,GRESIK UNITED,3.0,2.0,2.0,1.0
72,2017/2017,1/6/2017,PERSELA LAMONGAN,SRIWIJAYA FC,2.0,1.0,0.0,0.0
73,2017/2017,2/6/2017,MITRA KUKAR,PERSIKABO 1973,5.0,3.0,2.0,1.0
74,2017/2017,2/6/2017,PERSIJA JAKARTA,AREMA FC,2.0,0.0,2.0,0.0
75,2017/2017,3/6/2017,PERSIBA BALIKPAPAN,BORNEO FC,3.0,2.0,2.0,0.0
76,2017/2017,3/6/2017,PS BARITO PUTERA,SEMEN PADANG,3.0,1.0,1.0,1.0
77,2017/2017,3/6/2017,PSM MAKASSAR,PERSIPURA JAYAPURA,5.0,1.0,2.0,0.0
78,2017/2017,4/6/2017,PERSERU SERUI,BALI UNITED,1.0,3.0,0.0,2.0
79,2017/2017,4/6/2017,BHAYANGKARA FC,PERSIB BANDUNG,2.0,0.0,1.0,0.0
80,2017/2017,5/6/2017,GRESIK UNITED,PERSELA LAMONGAN,0.0,2.0,0.0,2.0
81,2017/2017,7/6/2017,MADURA UNITED,PERSIPURA JAYAPURA,2.0,0.0,1.0,0.0
82,2017/2017,7/6/2017,BORNEO FC,PS BARITO PUTERA,2.0,1.0,0.0,0.0
83,2017/2017,7/6/2017,SRIWIJAYA FC,MITRA KUKAR,3.0,1.0,3.0,0.0
84,2017/2017,8/6/2017,PERSIKABO 1973,PERSIJA JAKARTA,0.0,2.0,0.0,1.0
85,2017/2017,8/6/2017,SEMEN PADANG,PSM MAKASSAR,2.0,1.0,1.0,1.0
